Date,AS51 Index
11/07/2016,513456512
12/07/2016,575937984
13/07/2016,580176192
14/07/2016,489133312
15/07/2016,492909024
18/07/2016,402765344
19/07/2016,505053856
20/07/2016,581399168
21/07/2016,709476864
22/07/2016,524414944
25/07/2016,473043328
26/07/2016,545328832
27/07/2016,524078720
28/07/2016,538571648
29/07/2016,778526720
1/08/2016,420490624
2/08/2016,644783424
3/08/2016,659024640
4/08/2016,558480768
5/08/2016,477338080
8/08/2016,462165312
9/08/2016,546412160
10/08/2016,559717056
11/08/2016,509771968
12/08/2016,623019456
15/08/2016,469210496
16/08/2016,555814528
17/08/2016,607477760
18/08/2016,614909248
19/08/2016,566634432
22/08/2016,575830016
23/08/2016,630950336
24/08/2016,596682944
25/08/2016,635016064
26/08/2016,605385152
29/08/2016,543455424
30/08/2016,596209984
31/08/2016,732158720
1/09/2016,540521856
2/09/2016,669313600
5/09/2016,562079232
6/09/2016,514837440
7/09/2016,746355840
8/09/2016,664300992
9/09/2016,623025088
12/09/2016,669159232
13/09/2016,714512512
14/09/2016,783036032
15/09/2016,758485312
16/09/2016,892929856
19/09/2016,134987808
20/09/2016,681747328
21/09/2016,647078144
22/09/2016,571467520
23/09/2016,774180416
26/09/2016,482697664
27/09/2016,647572608
28/09/2016,559519040
29/09/2016,581282880
30/09/2016,658591296
3/10/2016,312783808
4/10/2016,573606464
5/10/2016,656633344
6/10/2016,635345856
7/10/2016,618943616
10/10/2016,486316512
11/10/2016,610735296
12/10/2016,632421120
13/10/2016,623999744
14/10/2016,485234720
17/10/2016,570827648
18/10/2016,536267744
19/10/2016,562841024
20/10/2016,622175488
21/10/2016,591765312
24/10/2016,556689472
25/10/2016,562679168
26/10/2016,681885568
27/10/2016,696338688
28/10/2016,673914368
31/10/2016,577144384
1/11/2016,435511776
2/11/2016,715433344
3/11/2016,621505152
4/11/2016,616908992
7/11/2016,548816448
8/11/2016,642933184
9/11/2016,1144666624
10/11/2016,903520640
11/11/2016,834054208
14/11/2016,666805120
15/11/2016,704655872
16/11/2016,713646336
17/11/2016,713897088
18/11/2016,642091712
21/11/2016,530766432
22/11/2016,654157952
23/11/2016,639017216
24/11/2016,612113984
25/11/2016,763684096
28/11/2016,481298624
29/11/2016,689784192
30/11/2016,1030463744
1/12/2016,905991616
2/12/2016,691676352
5/12/2016,623502656
6/12/2016,691700672
7/12/2016,668180736
8/12/2016,642811200
9/12/2016,627024768
12/12/2016,610784768
13/12/2016,645382272
14/12/2016,756662464
15/12/2016,857521984
16/12/2016,1068483392
19/12/2016,578992320
20/12/2016,660200832
21/12/2016,582322816
22/12/2016,475745152
23/12/2016,407247744
28/12/2016,373322080
29/12/2016,347922816
30/12/2016,274965568
3/01/2017,400786336
4/01/2017,502528800
5/01/2017,416827488
6/01/2017,426679168
9/01/2017,502423712
10/01/2017,586256576
11/01/2017,561184320
12/01/2017,546729792
13/01/2017,565569536
16/01/2017,444014144
17/01/2017,532084512
18/01/2017,550514432
19/01/2017,586840768
20/01/2017,558152896
23/01/2017,558030976
24/01/2017,622696896
25/01/2017,672670016
27/01/2017,492358528
30/01/2017,465348000
31/01/2017,647076352
1/02/2017,596102464
2/02/2017,681122112
3/02/2017,541116672
6/02/2017,530172320
7/02/2017,608206464
8/02/2017,573368704
9/02/2017,599936384
10/02/2017,612336896
13/02/2017,591542016
14/02/2017,579894016
15/02/2017,648188288
16/02/2017,753943104
17/02/2017,674132160
20/02/2017,563081344
21/02/2017,696804608
22/02/2017,751125952
23/02/2017,734086656
24/02/2017,870612736
27/02/2017,701673472
28/02/2017,922155008
1/03/2017,798742592
2/03/2017,791208704
3/03/2017,615344320
6/03/2017,545739072
7/03/2017,701234944
8/03/2017,649550528
9/03/2017,578573952
10/03/2017,629581632
13/03/2017,581247232
14/03/2017,646757824
15/03/2017,623374656
16/03/2017,971201216
17/03/2017,923104128
20/03/2017,441243840
21/03/2017,718481984
22/03/2017,670568640
23/03/2017,730887296
24/03/2017,587385152
27/03/2017,598502144
28/03/2017,672642176
29/03/2017,662254592
30/03/2017,639161600
31/03/2017,634932032
3/04/2017,492275296
4/04/2017,531967680
5/04/2017,655233536
6/04/2017,572266240
7/04/2017,558958784
10/04/2017,528163072
11/04/2017,589468416
12/04/2017,765376320
13/04/2017,648025344
18/04/2017,799916480
19/04/2017,731027264
20/04/2017,638850432
21/04/2017,577412224
24/04/2017,468665216
26/04/2017,691764800
27/04/2017,592864256
28/04/2017,699673216
1/05/2017,631112000
2/05/2017,721432448
3/05/2017,804653696
4/05/2017,653201664
5/05/2017,731175296
8/05/2017,770513728
9/05/2017,690671616
10/05/2017,766717632
11/05/2017,684613248
12/05/2017,596640896
15/05/2017,584052928
16/05/2017,671720704
17/05/2017,683751232
18/05/2017,798477376
19/05/2017,522489024
22/05/2017,571634048
23/05/2017,578227392
24/05/2017,646497024
25/05/2017,645843072
26/05/2017,589731136
29/05/2017,503368352
30/05/2017,476494912
31/05/2017,930683200
1/06/2017,632993664
2/06/2017,594935872
5/06/2017,600919232
6/06/2017,616402816
7/06/2017,680293696
8/06/2017,613537472
9/06/2017,612799104
13/06/2017,705355776
14/06/2017,778197696
15/06/2017,1389310464
16/06/2017,1112992256
19/06/2017,505253856
20/06/2017,633831232
21/06/2017,728832256
22/06/2017,627914560
23/06/2017,540245184
26/06/2017,596549632
27/06/2017,577731392
28/06/2017,678766272
29/06/2017,676072064
30/06/2017,827798976
3/07/2017,574062848
4/07/2017,623937792
5/07/2017,515285440
6/07/2017,582364416
7/07/2017,586592896
10/07/2017,478528832
11/07/2017,516251872
12/07/2017,562508544
13/07/2017,558360960
14/07/2017,655374784
17/07/2017,438629696
18/07/2017,577537728
19/07/2017,587460608
20/07/2017,631567936
21/07/2017,563921344
24/07/2017,483579072
25/07/2017,550864704
26/07/2017,595283968
27/07/2017,510314528
28/07/2017,651086528
31/07/2017,561385216
1/08/2017,699046400
2/08/2017,546231680
3/08/2017,521953120
4/08/2017,527116064
7/08/2017,400619936
8/08/2017,526504928
9/08/2017,494041792
10/08/2017,533651584
11/08/2017,598848960
14/08/2017,430045728
15/08/2017,489414560
16/08/2017,603452608
17/08/2017,795447296
18/08/2017,603402560
21/08/2017,547149184
22/08/2017,621978176
23/08/2017,714552960
24/08/2017,752829056
25/08/2017,810392832
28/08/2017,546027072
29/08/2017,663895680
30/08/2017,638830848
31/08/2017,848636096
1/09/2017,543156928
4/09/2017,394539456
5/09/2017,451889920
